idade,genero,tempo_esc,modalidade
28,Mulher,Menos de um ano,Indoor
32,Homem,3 - 5 anos,Outdoor
28,Mulher,3 - 5 anos,Outdoor
27,Homem,1 - 2 anos,Outdoor
32,Homem,1 - 2 anos,Indoor
32,Homem,6 - 10 anos,Outdoor
25,Homem,3 - 5 anos,Indoor
32,Mulher,3 - 5 anos,Outdoor
43,Mulher,3 - 5 anos,Indoor
22,Homem,1 - 2 anos,Indoor
43,Homem,Mais de 20 anos,Outdoor
35,Homem,1 - 2 anos,Indoor
48,Homem,3 - 5 anos,Indoor
35,Mulher,3 - 5 anos,Indoor
30,Mulher,Menos de um ano,Indoor
30,Homem,3 - 5 anos,Indoor
21,Homem,1 - 2 anos,Indoor
31,Mulher,Menos de um ano,Indoor
30,Mulher,1 - 2 anos,Indoor
20,Homem,1 - 2 anos,Indoor
23,Mulher,Menos de um ano,Indoor
34,Homem,Menos de um ano,Outdoor
21,Homem,3 - 5 anos,Outdoor
27,Homem,11 - 20 anos,Indoor
23,Homem,3 - 5 anos,Indoor
31,Homem,3 - 5 anos,Outdoor
47,Homem,1 - 2 anos,Indoor
28,Mulher,1 - 2 anos,Outdoor
20,Homem,1 - 2 anos,Indoor
29,Mulher,6 - 10 anos,Indoor
29,Mulher,6 - 10 anos,Outdoor
26,Homem,3 - 5 anos,Indoor
34,Mulher,3 - 5 anos,Indoor
24,Homem,3 - 5 anos,Indoor
40,Homem,1 - 2 anos,Indoor
31,Homem,1 - 2 anos,Indoor
37,Homem,11 - 20 anos,Indoor
26,Homem,6 - 10 anos,Indoor
38,Homem,11 - 20 anos,Indoor
29,Homem,1 - 2 anos,Indoor
36,Homem,3 - 5 anos,Indoor
28,Homem,1 - 2 anos,Indoor
28,Homem,1 - 2 anos,Outdoor
28,Homem,Mais de 20 anos,Outdoor
30,Mulher,1 - 2 anos,Outdoor
40,Mulher,3 - 5 anos,Indoor
24,Homem,Menos de um ano,Indoor
34,Homem,3 - 5 anos,Outdoor
29,Homem,1 - 2 anos,Indoor
27,Homem,1 - 2 anos,Indoor
26,Homem,Menos de um ano,Indoor
28,Homem,6 - 10 anos,Indoor
29,Homem,Menos de um ano,Indoor
44,Homem,1 - 2 anos,Indoor
29,Homem,1 - 2 anos,Outdoor
27,Mulher,3 - 5 anos,Outdoor
27,Mulher,Menos de um ano,Indoor
28,Homem,1 - 2 anos,Indoor
30,Mulher,Menos de um ano,Indoor
29,Homem,3 - 5 anos,Indoor
33,Homem,11 - 20 anos,Outdoor
36,Homem,1 - 2 anos,Indoor
26,Homem,3 - 5 anos,Indoor
26,Mulher,Menos de um ano,Indoor
27,Mulher,3 - 5 anos,Outdoor
38,Homem,11 - 20 anos,Outdoor
30,Mulher,3 - 5 anos,Indoor
29,Mulher,3 - 5 anos,Indoor
32,Mulher,3 - 5 anos,Outdoor
17,Homem,1 - 2 anos,Indoor
43,Homem,3 - 5 anos,Indoor
47,Homem,Mais de 20 anos,Indoor
19,Homem,1 - 2 anos,Outdoor
36,Homem,Mais de 20 anos,Indoor
33,Homem,Mais de 30 anos,Indoor
26,Homem,3 - 5 anos,Indoor
32,Homem,11 - 20 anos,Outdoor
25,Homem,1 - 2 anos,Indoor
25,Mulher,1 - 2 anos,Outdoor
33,Homem,3 - 5 anos,Outdoor
27,Homem,6 - 10 anos,Outdoor
46,Mulher,1 - 2 anos,Indoor
27,Homem,6 - 10 anos,Outdoor
37,Homem,3 - 5 anos,Indoor
17,Homem,6 - 10 anos,Indoor
27,Mulher,6 - 10 anos,Indoor
28,Homem,1 - 2 anos,Indoor
24,Homem,1 - 2 anos,Indoor
23,Homem,Menos de um ano,Indoor
33,Mulher,3 - 5 anos,Outdoor
26,Homem,Menos de um ano,Indoor
31,Homem,1 - 2 anos,Indoor
39,Homem,3 - 5 anos,Indoor
36,Homem,6 - 10 anos,Outdoor
28,Homem,3 - 5 anos,Outdoor
33,Mulher,1 - 2 anos,Indoor
34,Homem,6 - 10 anos,Outdoor
34,Homem,6 - 10 anos,Outdoor
34,Homem,6 - 10 anos,Outdoor
25,Homem,3 - 5 anos,Indoor
27,Mulher,1 - 2 anos,Outdoor
41,Homem,11 - 20 anos,Outdoor
25,Mulher,1 - 2 anos,Indoor
20,Homem,Menos de um ano,Indoor
23,Mulher,6 - 10 anos,Outdoor
28,Homem,6 - 10 anos,Outdoor
26,Homem,3 - 5 anos,Outdoor
29,Homem,3 - 5 anos,Indoor
31,Mulher,6 - 10 anos,Outdoor
26,Mulher,1 - 2 anos,Indoor
28,Homem,11 - 20 anos,Indoor
22,Homem,1 - 2 anos,Outdoor
22,Homem,Menos de um ano,Indoor
38,Homem,1 - 2 anos,Indoor
42,Homem,6 - 10 anos,Outdoor
33,Homem,Mais de 30 anos,Outdoor
29,Homem,6 - 10 anos,Outdoor
31,Mulher,1 - 2 anos,Indoor
38,Mulher,1 - 2 anos,Indoor
30,Mulher,6 - 10 anos,Indoor
35,Homem,11 - 20 anos,Outdoor
29,Mulher,1 - 2 anos,Indoor
27,Mulher,1 - 2 anos,Indoor
28,Mulher,1 - 2 anos,Indoor
25,Mulher,3 - 5 anos,Indoor
21,Mulher,Mais de 20 anos,Indoor
29,Homem,3 - 5 anos,Indoor
30,Homem,11 - 20 anos,Outdoor
28,Mulher,1 - 2 anos,Outdoor
30,Homem,3 - 5 anos,Outdoor
32,Mulher,3 - 5 anos,Outdoor
34,Mulher,6 - 10 anos,Outdoor
32,Homem,6 - 10 anos,Indoor
35,Homem,6 - 10 anos,Indoor
30,Mulher,3 - 5 anos,Outdoor
29,Mulher,1 - 2 anos,Indoor
32,Mulher,3 - 5 anos,Indoor
36,Homem,6 - 10 anos,Indoor
33,Homem,3 - 5 anos,Outdoor
28,Homem,3 - 5 anos,Outdoor
41,Homem,11 - 20 anos,Outdoor
31,Mulher,3 - 5 anos,Outdoor
21,Homem,11 - 20 anos,Outdoor
25,Homem,1 - 2 anos,Indoor
24,Homem,1 - 2 anos,Indoor
37,Homem,Mais de 20 anos,Outdoor
36,Homem,3 - 5 anos,Outdoor
27,Homem,6 - 10 anos,Outdoor
27,Homem,6 - 10 anos,Outdoor
25,Mulher,1 - 2 anos,Outdoor
27,Homem,1 - 2 anos,Indoor
23,Mulher,1 - 2 anos,Indoor
32,Homem,3 - 5 anos,Indoor
32,Homem,3 - 5 anos,Outdoor
27,Homem,3 - 5 anos,Outdoor
22,Mulher,1 - 2 anos,Outdoor
31,Mulher,6 - 10 anos,Outdoor
29,Homem,3 - 5 anos,Indoor
31,Homem,1 - 2 anos,Indoor
34,Mulher,3 - 5 anos,Outdoor
30,Mulher,1 - 2 anos,Outdoor
45,Homem,6 - 10 anos,Indoor
37,Mulher,11 - 20 anos,Outdoor
28,Homem,6 - 10 anos,Outdoor
32,Homem,3 - 5 anos,Outdoor
26,Mulher,3 - 5 anos,Outdoor
31,Mulher,3 - 5 anos,Outdoor
29,Homem,3 - 5 anos,Outdoor
31,Homem,3 - 5 anos,Indoor
35,Homem,6 - 10 anos,Outdoor
28,Mulher,1 - 2 anos,Outdoor
40,Homem,Mais de 20 anos,Outdoor
28,Homem,3 - 5 anos,Outdoor
32,Homem,6 - 10 anos,Indoor
17,Homem,Menos de um ano,Indoor
46,Mulher,11 - 20 anos,Outdoor
50,Homem,Mais de 30 anos,Outdoor
42,Homem,11 - 20 anos,Outdoor
24,Homem,Menos de um ano,Indoor
36,Mulher,6 - 10 anos,Outdoor
27,Mulher,3 - 5 anos,Outdoor
27,Homem,3 - 5 anos,Outdoor
26,Homem,3 - 5 anos,Indoor
26,Homem,3 - 5 anos,Outdoor
29,Homem,11 - 20 anos,Outdoor
23,Mulher,1 - 2 anos,Indoor
34,Homem,6 - 10 anos,Indoor
43,Homem,Mais de 20 anos,Outdoor
34,Homem,1 - 2 anos,Indoor
36,Homem,1 - 2 anos,Outdoor
42,Homem,11 - 20 anos,Outdoor
29,Homem,1 - 2 anos,Indoor
